"","ID","quarter","course level","prompt","age","gender","L1","other L1s","L at home","L studied","listening","reading","speaking","writing","lived in Span-speaking co","level","first_person_verb","second_person_verb","third_person_verb","total_main_verbs","total_verbs","Indicative_mood","Subjunctive_mood","Imperative_mood","Participle_mood","Gerund_mood","Infinitive_mood","Present_tense","Imperfect_tense","Future_tense","Preterit_tense","Conditional_tense","ADJECTIVE","CONJUNCTION","DETERMINER","NOUN","PRONOUN","ADVERB","ADPOSITION","VERB","NUMBER","DATE","INTERJECTION","PUNCTUATION","mtld","NumAdj","NumVb","NumTokens","self_assessment_score"
"1",120,"S18","SPA 3","vacation","21","Female","English",NA,"ilocano",NA,4,4,2,3,"No",3,23,0,7,30,51,28,2,0,0,1,20,21,1,4,1,3,20,27,51,88,12,10,51,51,1,0,0,31,89.9008379425695,22,40,321,13
"2",120,"W18","SPA 2","vacation","21","Female","English",NA,"ilocano",NA,3,3,2,3,"No",2,23,0,12,35,54,34,1,0,2,0,17,16,1,7,3,8,21,15,57,85,13,7,49,54,1,0,0,45,73.0479857819905,22,40,315,11
"3",210,"S18","SPA 2","vacation","21","Female","English","n/a","Arabic , Tigre ,Tiginya ","Arabic , Studied it for 7 years.",2,2,2,2,"No",2,7,0,21,28,48,26,2,0,2,0,18,18,0,0,1,9,19,18,37,75,13,11,36,48,0,0,0,46,70.3163559484912,19,36,256,8
"4",210,"W19","SPA 3","terrible","22","Female","English,Other","Arabic, Tigre, Tigrinya","Arabic, Tigre, Tigrinya","I have studied Arabic for 10 plus years. ",2,2,2,2,"No",3,18,1,21,40,55,40,0,0,4,2,9,15,6,2,16,1,15,23,53,60,22,17,37,55,0,0,0,34,61.7777562586443,16,43,283,8
"5",1680,"S19","SPA 3","terrible","22","Male","Other","Vietnamese","Vietnamese","English - 14 years",2,3,2,2,"No",3,19,0,28,47,63,47,0,0,4,1,11,4,14,0,29,0,6,23,49,59,25,17,31,63,0,0,0,38,51.8602519775787,10,48,269,9
"6",2003,"S18","SPA 22","vacation","23","Female","English,Spanish",NA,NA,NA,4,4,3,3,"Yes",22,2,7,22,31,65,29,2,0,7,4,23,24,0,0,0,7,19,27,37,41,22,26,31,65,1,0,0,15,60.2036253151836,26,29,271,14
"7",2003,"W18","SPA 3","vacation","23","Female","English,Spanish",NA,"Spanish",NA,5,5,4,5,"Yes",3,15,0,15,30,64,26,4,0,3,2,29,26,1,0,0,3,16,23,37,46,26,20,28,64,0,0,0,17,70.279994320242,18,51,260,19
"8",5955,"SU17","SPA 1","vacation","21","Female","Mandarin",NA,"Korean and Mandarin","I taught myself Korean; I didn't get formal training. My boyfriend is from South Korea and he always tries to speak Korean with me so I can speak more and more. ",2,3,3,3,"No",1,20,0,13,33,57,32,1,0,2,2,20,27,0,2,3,1,18,15,40,57,17,14,35,57,1,0,0,28,76.3126598601756,19,40,263,11
"9",6824,"W18","SPA 3","vacation","22","Female","English",NA,"NO","N/A- I have only learned Spanish outside of English",2,1,2,2,"No",3,10,1,20,31,39,31,0,0,2,1,5,20,2,0,9,0,24,29,33,82,10,18,35,39,0,0,0,37,62.7415048543689,26,26,285,7
"10",7034,"W18","SPA 3","vacation","21","Male","English",NA,"Hindi",NA,3,2,2,4,"No",3,6,1,28,35,39,33,2,0,1,0,3,34,1,0,0,0,15,24,48,83,13,9,27,39,4,1,0,47,46.3619654866134,13,23,262,11
